PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_ord,Age_scaled,Fare_scaled,FamilySize,Fare_per_person,Age_x_Pclass,Fare_log,AgeGroup
21,0,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,True,False,True,2,0.4182962090864816,-0.12491978668775715,1,26.0,70.0,3.295836866004329,Adult
22,1,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,True,False,True,2,0.34025303102964644,-0.3866707201133388,1,13.0,68.0,2.6390573296152584,Adult
23,1,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,False,True,False,1,-1.1425673520502218,-0.4867562231804066,1,8.0292,45.0,2.2004637699272855,Teen
24,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,True,False,True,3,-0.12800603731136453,0.06635974158478332,1,35.5,28.0,3.597312260588446,Adult
25,0,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,False,False,True,1,-1.6888695984480677,-0.22408312108167944,5,4.215,24.0,3.0944457464900235,Child
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,False,False,True,1,0.6524257432569871,-0.016444159470040135,7,4.483928571428572,114.0,3.4777725458882283,Adult
27,0,"Emir, Mr. Farred Chehab",29.69911764705882,0,0,2631,7.225,True,False,False,1,0.004598503757557758,-0.5029485386158568,1,7.225,89.09735294117647,2.1071782966514356,Adult
28,0,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,True,False,True,3,-0.830394639822881,4.647001076532463,6,43.833333333333336,19.0,5.575949103146316,Adult
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",29.69911764705882,0,0,330959,7.8792,False,True,False,1,0.004598503757557758,-0.48977642625839407,1,7.8792,89.09735294117647,2.1837114628556327,Adult
30,0,"Todoroff, Mr. Lalio",29.69911764705882,0,0,349216,7.8958,True,False,True,1,0.004598503757557758,-0.4894421904510968,1,7.8958,89.09735294117647,2.1855792552411137,Adult
31,0,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,True,False,False,3,0.8085120993706574,-0.09027201697708476,1,27.7208,40.0,3.357621598945279,Adult
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",29.69911764705882,1,0,PC 17569,146.5208,False,False,False,3,0.004598503757557758,2.301728820789,2,73.2604,29.69911764705882,4.993969182787072,Adult
33,1,"Glynn, Miss. Mary Agatha",29.69911764705882,0,0,335677,7.75,False,True,False,1,0.004598503757557758,-0.49237782784290063,1,7.75,89.09735294117647,2.169053700369523,Adult
34,0,"Wheadon, Mr. Edward H",65.0,0,0,C.A. 24579,10.5,True,False,True,2,2.7595915507915363,-0.43700743807979686,1,10.5,130.0,2.4423470353692043,Senior
35,0,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,True,False,False,3,-0.12800603731136453,1.0060617003323709,2,41.0854,28.0,4.420896324687287,Adult
36,0,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,True,False,True,3,0.9645984554843278,0.39858208016340624,2,26.0,42.0,3.970291913552122,Middle
37,1,"Mamee, Mr. Hanna",29.69911764705882,0,0,2677,7.2292,True,False,False,1,0.004598503757557758,-0.5028639729296732,1,7.2292,89.09735294117647,2.1076888046179385,Adult
38,0,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,True,False,True,1,-0.6743082837092107,-0.4863374216869257,1,8.05,63.0,2.2027647577118348,Adult
39,0,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,False,False,True,1,-0.9084378178797161,-0.2859972841804228,3,6.0,54.0,2.9444389791664403,Teen
40,1,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,False,False,False,1,-1.220610530107057,-0.42207354059350805,2,5.62085,42.0,2.5048481563289,Teen
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,False,False,True,1,0.8085120993706574,-0.4576454924460446,2,4.7375,120.0,2.348991465808201,Adult
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,False,False,True,2,-0.2060492153681997,-0.22559322262067316,2,10.5,54.0,3.091042453358316,Adult
43,0,"Kraeff, Mr. Theodor",29.69911764705882,0,0,349253,7.8958,True,False,False,1,0.004598503757557758,-0.4894421904510968,1,7.8958,89.09735294117647,2.1855792552411137,Adult
44,1,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,False,False,False,2,-2.0790854887322436,0.18876253192945994,4,10.3948,6.0,3.7513658711253766,Child
45,1,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,False,True,False,1,-0.830394639822881,-0.48977642625839407,1,7.8792,57.0,2.1837114628556327,Adult
46,0,"Rogers, Mr. William John",29.69911764705882,0,0,S.C./A.4. 23567,8.05,True,False,True,1,0.004598503757557758,-0.4863374216869257,1,8.05,89.09735294117647,2.2027647577118348,Adult
47,0,"Lennon, Mr. Denis",29.69911764705882,1,0,370371,15.5,True,True,False,1,0.004598503757557758,-0.3363340021468808,2,7.75,89.09735294117647,2.803360380906535,Adult
48,1,"O'Driscoll, Miss. Bridget",29.69911764705882,0,0,14311,7.75,False,True,False,1,0.004598503757557758,-0.49237782784290063,1,7.75,89.09735294117647,2.169053700369523,Adult
49,0,"Samaan, Mr. Youssef",29.69911764705882,2,0,2662,21.6792,True,False,False,1,0.004598503757557758,-0.21191774308354583,3,7.226400000000001,89.09735294117647,3.1214482048688246,Adult
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,False,False,True,1,-0.9084378178797161,-0.29002422161773944,2,8.9,54.0,2.9338568698359038,Teen
51,0,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,True,False,True,1,-1.7669127765049029,0.1506737441786005,6,6.614583333333333,21.0,3.705920919968788,Child
52,0,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,True,False,True,1,-0.6743082837092107,-0.4913710934835715,1,7.8,63.0,2.174751721484161,Adult
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,False,False,False,3,1.5109007018821738,0.8964967865378598,2,38.3646,49.0,4.353230991152628,Middle
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,False,False,True,2,-0.049962859254529375,-0.12491978668775715,2,13.0,58.0,3.295836866004329,Adult
55,0,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,True,False,False,3,2.7595915507915363,0.5995101505357573,2,30.9896,65.0,4.142804513146981,Senior
56,1,"Woolner, Mr. Hugh",29.69911764705882,0,0,19947,35.5,True,False,True,3,0.004598503757557758,0.06635974158478332,1,35.5,29.69911764705882,3.597312260588446,Adult
57,1,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,False,False,True,2,-0.6743082837092107,-0.43700743807979686,1,10.5,42.0,2.4423470353692043,Adult
58,0,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,True,False,False,1,-0.08898444828294697,-0.5028639729296732,1,7.2292,85.5,2.1076888046179385,Adult
59,1,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,False,False,True,2,-1.9229991326185734,-0.08968408411123653,4,6.9375,10.0,3.3586377672433594,Child
60,0,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,True,False,True,1,-1.4547400642775623,0.2958951755118318,8,5.8625,33.0,3.8691155044168695,Child
61,0,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,True,False,False,1,-0.5962651056523756,-0.5028639729296732,1,7.2292,66.0,2.1076888046179385,Adult
62,1,"Icard, Miss. Amelie",38.0,0,0,113572,80.0,False,False,True,3,0.6524257432569871,0.962353321387736,1,80.0,38.0,4.394449154672439,Adult
63,0,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,83.475,True,False,True,3,1.1987279896548333,1.0323213593611125,2,41.7375,45.0,4.436455632600354,Middle
64,0,"Skoog, Master. Harald",4.0,3,2,347088,27.9,True,False,True,1,-2.0010423106754085,-0.08666388103324908,6,4.6499999999999995,12.0,3.3638415951183864,Child
65,0,"Stewart, Mr. Albert A",29.69911764705882,0,0,PC 17605,27.7208,True,False,False,3,0.004598503757557758,-0.09027201697708476,1,27.7208,29.69911764705882,3.357621598945279,Adult
66,1,"Moubarek, Master. Gerios",29.69911764705882,1,1,2661,15.2458,True,False,False,1,0.004598503757557758,-0.3414522396297103,3,5.081933333333333,89.09735294117647,2.7878344138303452,Adult
67,1,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,False,False,True,2,-0.049962859254529375,-0.43700743807979686,1,10.5,58.0,2.4423470353692043,Adult
68,0,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,True,False,True,1,-0.830394639822881,-0.4841568350646187,1,8.1583,57.0,2.2146605719425225,Adult
69,1,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,False,False,True,1,-0.9864809959365514,-0.4888542575852486,7,1.1321428571428571,51.0,2.188856327665703,Teen
70,0,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,True,False,True,1,-0.28409239342503484,-0.47400492578514347,3,2.8874999999999997,78.0,2.2682524139135403,Adult
71,0,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,True,False,True,2,0.1841666749159761,-0.43700743807979686,1,10.5,64.0,2.4423470353692043,Adult
72,0,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,False,False,True,1,-1.0645241739933864,0.2958951755118318,8,5.8625,48.0,3.8691155044168695,Teen
73,0,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,73.5,True,False,True,2,-0.6743082837092107,0.8314778546749452,1,73.5,42.0,4.310799125385514,Adult
74,0,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,True,False,False,1,-0.28409239342503484,-0.3573908580066095,2,7.2271,78.0,2.737880811060884,Adult
75,1,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,True,False,True,1,0.1841666749159761,0.48910360681684706,1,56.4958,96.0,4.05171190165724,Adult
76,0,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,True,False,True,1,-0.36213557148187003,-0.494391296561559,1,7.65,75.0,2.157559320943788,Adult
77,0,"Staneff, Mr. Ivan",29.69911764705882,0,0,349208,7.8958,True,False,True,1,0.004598503757557758,-0.4894421904510968,1,7.8958,89.09735294117647,2.1855792552411137,Adult
78,0,"Moutal, Mr. Rahamin Haim",29.69911764705882,0,0,374746,8.05,True,False,True,1,0.004598503757557758,-0.4863374216869257,1,8.05,89.09735294117647,2.2027647577118348,Adult
79,1,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,True,False,True,2,-2.248439185115576,-0.06451572512800753,3,9.666666666666666,1.66,3.4011973816621555,Child
80,1,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,False,False,True,1,0.028080318802305784,-0.397241430886295,1,12.475,90.0,2.600836116795061,Adult
81,0,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,True,False,True,1,-0.5962651056523756,-0.46720946885967163,1,9.0,66.0,2.302585092994046,Adult
82,1,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,True,False,True,1,-0.049962859254529375,-0.45714212526638004,1,9.5,87.0,2.3513752571634776,Adult
83,1,"McDermott, Miss. Brigdet Delia",29.69911764705882,0,0,330932,7.7875,False,True,False,1,0.004598503757557758,-0.49162277707340374,1,7.7875,89.09735294117647,2.1733302571367834,Adult
84,0,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,True,False,True,3,-0.12800603731136453,0.29992211294914856,1,47.1,28.0,3.8732821771117156,Adult
85,1,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,False,False,True,2,-0.9864809959365514,-0.43700743807979686,1,10.5,34.0,2.4423470353692043,Teen
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,False,False,True,1,0.2622098529728113,-0.32928686163157667,4,3.9625,99.0,2.8243506567983707,Adult
87,0,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,True,False,True,1,-1.0645241739933864,0.04370821849987721,5,6.875,48.0,3.5660053559634015,Teen
88,0,"Slocovski, Mr. Selman Francis",29.69911764705882,0,0,SOTON/OQ 392086,8.05,True,False,True,1,0.004598503757557758,-0.4863374216869257,1,8.05,89.09735294117647,2.2027647577118348,Adult
89,1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,263.0,False,False,True,3,-0.5182219275955403,4.647001076532463,6,43.833333333333336,23.0,5.575949103146316,Adult
90,0,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,True,False,True,1,-0.44017874953870517,-0.4863374216869257,1,8.05,72.0,2.2027647577118348,Adult
91,0,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,True,False,True,1,-0.049962859254529375,-0.4863374216869257,1,8.05,87.0,2.2027647577118348,Adult
92,0,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,True,False,True,1,-0.7523514617660458,-0.4902797934380587,1,7.8542,60.0,2.180891922715322,Adult
93,0,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,True,False,True,3,1.2767711677116684,0.5833178351003071,2,30.5875,46.0,4.1299529896894684,Middle
94,0,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,True,False,True,1,-0.28409239342503484,-0.23415046467497105,4,5.14375,78.0,3.0715352369694915,Adult
95,0,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,True,False,True,1,2.2913324824505255,-0.5024451714361923,1,7.25,177.0,2.1102132003465894,Middle
96,0,"Shorney, Mr. Charles Joseph",29.69911764705882,0,0,374910,8.05,True,False,True,1,0.004598503757557758,-0.4863374216869257,1,8.05,89.09735294117647,2.2027647577118348,Adult
97,0,"Goldschmidt, Mr. George B",65.0,0,0,PC 17754,34.6542,True,False,False,3,2.7595915507915363,0.0493298231623713,1,34.6542,65.0,3.57386695198272,Senior
98,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,True,False,False,3,-0.5182219275955403,0.6272778976347743,2,31.67915,23.0,4.164465907853638,Adult
99,1,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,False,False,True,2,0.34025303102964644,-0.18532384824750675,2,11.5,68.0,3.1780538303479458,Adult
100,0,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,True,False,True,2,0.34025303102964644,-0.12491978668775715,2,13.0,68.0,3.295836866004329,Adult
101,0,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,False,False,True,1,-0.12800603731136453,-0.4894421904510968,1,7.8958,84.0,2.1855792552411137,Adult
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",29.69911764705882,0,0,349215,7.8958,True,False,True,1,0.004598503757557758,-0.4894421904510968,1,7.8958,89.09735294117647,2.1855792552411137,Adult
103,0,"White, Mr. Richard Frasar",21.0,0,1,35281,77.2875,True,False,True,3,-0.6743082837092107,0.907737982394129,2,38.64375,21.0,4.360387947851531,Adult
104,0,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,True,False,True,1,0.2622098529728113,-0.4741720436887921,1,8.6542,99.0,2.267393053825037,Adult
105,0,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,True,False,True,1,0.574382565200152,-0.4888542575852486,3,2.6416666666666666,111.0,2.188856327665703,Adult
106,0,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,True,False,True,1,-0.12800603731136453,-0.4894421904510968,1,7.8958,84.0,2.1855792552411137,Adult
107,1,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,False,False,True,1,-0.6743082837092107,-0.494391296561559,1,7.65,63.0,2.157559320943788,Adult
108,1,"Moss, Mr. Albert Johan",29.69911764705882,0,0,312991,7.775,True,False,True,1,0.004598503757557758,-0.4918744606632361,1,7.775,89.09735294117647,2.1719067693519296,Adult
109,0,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,True,False,True,1,0.6524257432569871,-0.4894421904510968,1,7.8958,114.0,2.1855792552411137,Adult
110,1,"Moran, Miss. Bertha",29.69911764705882,1,0,371110,24.15,False,True,False,1,0.004598503757557758,-0.1621689579829361,2,12.075,89.09735294117647,3.224857896545748,Adult
111,0,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,True,False,True,3,1.3548143457685036,0.39858208016340624,1,52.0,47.0,3.970291913552122,Middle
112,0,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,False,False,False,1,-1.1815889410786393,-0.3573908580066095,2,7.2271,43.5,2.737880811060884,Teen
113,0,"Barton, Mr. David John",22.0,0,0,324669,8.05,True,False,True,1,-0.5962651056523756,-0.4863374216869257,1,8.05,66.0,2.2027647577118348,Adult
114,0,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,False,False,True,1,-0.7523514617660458,-0.4505983519307405,2,4.9125,60.0,2.3818582738885534,Adult
115,0,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,False,False,False,1,-0.9864809959365514,-0.3573083057891445,1,14.4583,51.0,2.738146075922933,Teen
116,0,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,True,False,True,1,-0.6743082837092107,-0.4888542575852486,1,7.925,63.0,2.188856327665703,Adult
117,0,"Connors, Mr. Patrick",65.0,0,0,370369,7.75,True,True,False,1,2.7595915507915363,-0.49237782784290063,1,7.75,195.0,2.169053700369523,Senior
118,0,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,True,False,True,2,-0.049962859254529375,-0.22559322262067316,2,10.5,58.0,3.091042453358316,Adult
119,0,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,247.5208,True,False,False,3,-0.44017874953870517,4.335332226633905,2,123.7604,24.0,5.515526544247129,Adult
120,0,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,False,False,True,1,-2.1571286667890788,-0.01870931177853076,7,4.4678571428571425,6.0,3.4742929367327062,Child
121,0,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,73.5,True,False,True,2,-0.6743082837092107,0.8314778546749452,3,24.5,42.0,4.310799125385514,Adult
122,0,"Moore, Mr. Leonard Charles",29.69911764705882,0,0,A4. 54510,8.05,True,False,True,1,0.004598503757557758,-0.4863374216869257,1,8.05,89.09735294117647,2.2027647577118348,Adult
123,0,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,True,False,False,2,0.2231882639443937,-0.04295550208861426,2,15.0354,65.0,3.436268471383741,Adult
124,1,"Webber, Miss. Susan",32.5,0,0,27267,13.0,False,False,True,2,0.2231882639443937,-0.3866707201133388,1,13.0,65.0,2.6390573296152584,Adult
125,0,"White, Mr. Percival Wayland",54.0,0,1,35281,77.2875,True,False,True,3,1.9011165921663498,0.907737982394129,2,38.64375,54.0,4.360387947851531,Middle
126,1,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,True,False,False,1,-1.3766968862207272,-0.42207354059350805,2,5.62085,36.0,2.5048481563289,Child
127,0,"McMahon, Mr. Martin",29.69911764705882,0,0,370372,7.75,True,True,False,1,0.004598503757557758,-0.49237782784290063,1,7.75,89.09735294117647,2.169053700369523,Adult
128,1,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,True,False,True,1,-0.44017874953870517,-0.5046257580584992,1,7.1417,72.0,2.0969990034181696,Adult
129,1,"Peter, Miss. Anna",29.69911764705882,1,1,2668,22.3583,False,False,False,1,0.004598503757557758,-0.19824427701513722,3,7.452766666666666,89.09735294117647,3.1509523813392697,Adult
130,0,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,True,False,True,1,1.1987279896548333,-0.5079822104125026,1,6.975,135.0,2.076311648670908,Middle
131,0,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,True,False,False,1,0.2622098529728113,-0.4894421904510968,1,7.8958,99.0,2.1855792552411137,Adult
132,0,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,True,False,True,1,-0.7523514617660458,-0.5064721088735089,1,7.05,60.0,2.0856720914304723,Adult
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,False,False,True,1,1.3548143457685036,-0.35646868933346404,2,7.25,141.0,2.740840023925201,Middle
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,False,False,True,2,-0.049962859254529375,-0.12491978668775715,2,13.0,58.0,3.295836866004329,Adult
135,0,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,True,False,True,2,-0.36213557148187003,-0.3866707201133388,1,13.0,50.0,2.6390573296152584,Adult
136,0,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,True,False,False,2,-0.5182219275955403,-0.3454791770670269,1,15.0458,46.0,2.775447133088262,Adult
137,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,False,False,True,3,-0.830394639822881,-0.11921562980779811,3,8.7611,19.0,3.3062747934011893,Adult
138,0,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,True,False,True,3,0.574382565200152,0.4207302360686478,2,26.55,37.0,3.9908341858524357,Adult
139,0,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,True,False,True,1,-1.0645241739933864,-0.4628462821463391,1,9.2167,48.0,2.3240236363515288,Teen
140,0,"Giglio, Mr. Victor",24.0,0,0,PC 17593,79.2,True,False,False,3,-0.44017874953870517,0.9462455716384695,1,79.2,24.0,4.384523514872469,Adult
141,0,"Boulos, Mrs. Joseph (Sultana)",29.69911764705882,0,2,2678,15.2458,False,False,False,1,0.004598503757557758,-0.3414522396297103,3,5.081933333333333,89.09735294117647,2.7878344138303452,Adult
142,1,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,False,False,True,1,-0.5962651056523756,-0.49237782784290063,1,7.75,66.0,2.169053700369523,Adult
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,False,False,True,1,-0.44017874953870517,-0.32928686163157667,2,7.925,72.0,2.8243506567983707,Adult
144,0,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,True,True,False,1,-0.830394639822881,-0.5125125150294839,1,6.75,57.0,2.0476928433652555,Adult
145,0,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,True,False,True,2,-0.9084378178797161,-0.41687275089321363,1,11.5,36.0,2.5257286443082556,Teen
146,0,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,True,False,True,2,-0.830394639822881,0.09152810056801232,3,12.25,38.0,3.6309854756950335,Adult
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,True,False,True,1,-0.2060492153681997,-0.49145565916975514,1,7.7958,81.0,2.174274334826008,Adult
148,0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,False,False,True,1,-1.6108264203912326,0.04370821849987721,5,6.875,27.0,3.5660053559634015,Child
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,True,False,True,2,0.5353609761717344,-0.12491978668775715,3,8.666666666666666,73.0,3.295836866004329,Adult
